what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1476015676471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476015711843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476015716861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476015732612
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1476015735270
closed,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1476015735280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476015741443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476015761999
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1476015762080
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1476015762163
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1476015762197
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1476015762228
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1476015762233
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1476015762556
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476015762578
error,log,,,"Unable to get resource",1476015762588
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476015762702
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1476015762711
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1476015773947
